expname,rirs,speed_augmentation,clean,baseline,length,seed,classification_3s,classification_10s,classification_30s,accuracy_3s,accuracy_10s,accuracy_30s,c_primary_3s,c_primary_10s,c_primary_30s
da_rirs_clean_tr_10000,True,False,True,False,10000,1,/home/paul/gp-data/da_rirs_clean_tr_10000/exp/results/classification_3s,/home/paul/gp-data/da_rirs_clean_tr_10000/exp/results/classification_10s,/home/paul/gp-data/da_rirs_clean_tr_10000/exp/results/classification_30s,0.723,0.838,0.863,0.367,0.222,0.203
da_aug_tr_5000_baseline_2,False,False,False,True,5000,2,/home/paul/gp-data/da_aug_tr_5000_baseline_2/exp/results/classification_3s,/home/paul/gp-data/da_aug_tr_5000_baseline_2/exp/results/classification_10s,/home/paul/gp-data/da_aug_tr_5000_baseline_2/exp/results/classification_30s,0.665,0.792,0.817,0.443,0.283,0.264
da_aug_tr_500_2,False,True,False,False,500,2,/home/paul/gp-data/da_aug_tr_500_2/exp/results/classification_3s,/home/paul/gp-data/da_aug_tr_500_2/exp/results/classification_10s,/home/paul/gp-data/da_aug_tr_500_2/exp/results/classification_30s,0.537,0.671,0.711,0.614,0.451,0.423
da_aug_rirs_clean_tr_1000,True,True,True,False,1000,1,/home/paul/gp-data/da_aug_rirs_clean_tr_1000/exp/results/classification_3s,/home/paul/gp-data/da_aug_rirs_clean_tr_1000/exp/results/classification_10s,/home/paul/gp-data/da_aug_rirs_clean_tr_1000/exp/results/classification_30s,0.654,0.771,0.799,0.455,0.309,0.289
da_aug_rirs_clean_tr_500_2,True,True,True,False,500,2,/home/paul/gp-data/da_aug_rirs_clean_tr_500_2/exp/results/classification_3s,/home/paul/gp-data/da_aug_rirs_clean_tr_500_2/exp/results/classification_10s,/home/paul/gp-data/da_aug_rirs_clean_tr_500_2/exp/results/classification_30s,0.582,0.716,0.746,0.549,0.381,0.362
da_aug_rirs_tr_1000_2,True,True,False,False,1000,2,/home/paul/gp-data/da_aug_rirs_tr_1000_2/exp/results/classification_3s,/home/paul/gp-data/da_aug_rirs_tr_1000_2/exp/results/classification_10s,/home/paul/gp-data/da_aug_rirs_tr_1000_2/exp/results/classification_30s,0.642,0.777,0.809,0.468,0.299,0.275
da_rirs_clean_tr_5000,True,False,True,False,5000,1,/home/paul/gp-data/da_rirs_clean_tr_5000/exp/results/classification_3s,/home/paul/gp-data/da_rirs_clean_tr_5000/exp/results/classification_10s,/home/paul/gp-data/da_rirs_clean_tr_5000/exp/results/classification_30s,0.713,0.83,0.852,0.378,0.229,0.214
da_rirs_clean_tr_10000_2,True,False,True,False,10000,2,/home/paul/gp-data/da_rirs_clean_tr_10000_2/exp/results/classification_3s,/home/paul/gp-data/da_rirs_clean_tr_10000_2/exp/results/classification_10s,/home/paul/gp-data/da_rirs_clean_tr_10000_2/exp/results/classification_30s,0.72,0.833,0.856,0.367,0.226,0.212
da_aug_rirs_tr_5000_3,True,True,False,False,5000,3,/home/paul/gp-data/da_aug_rirs_tr_5000_3/exp/results/classification_3s,/home/paul/gp-data/da_aug_rirs_tr_5000_3/exp/results/classification_10s,/home/paul/gp-data/da_aug_rirs_tr_5000_3/exp/results/classification_30s,0.759,0.871,0.891,0.316,0.172,0.156
da_rirs_tr_500_2,True,False,False,False,500,2,/home/paul/gp-data/da_rirs_tr_500_2/exp/results/classification_3s,/home/paul/gp-data/da_rirs_tr_500_2/exp/results/classification_10s,/home/paul/gp-data/da_rirs_tr_500_2/exp/results/classification_30s,0.461,0.587,0.627,0.711,0.555,0.527
da_aug_rirs_tr_5000_2,True,True,False,False,5000,2,/home/paul/gp-data/da_aug_rirs_tr_5000_2/exp/results/classification_3s,/home/paul/gp-data/da_aug_rirs_tr_5000_2/exp/results/classification_10s,/home/paul/gp-data/da_aug_rirs_tr_5000_2/exp/results/classification_30s,0.792,0.887,0.905,0.273,0.152,0.138
da_aug_clean_tr_1000,False,True,True,False,1000,1,/home/paul/gp-data/da_aug_clean_tr_1000/exp/results/classification_3s,/home/paul/gp-data/da_aug_clean_tr_1000/exp/results/classification_10s,/home/paul/gp-data/da_aug_clean_tr_1000/exp/results/classification_30s,0.624,0.754,0.779,0.491,0.327,0.309
da_aug_tr_500_baseline,False,False,False,True,500,1,/home/paul/gp-data/da_aug_tr_500_baseline/exp/results/classification_3s,/home/paul/gp-data/da_aug_tr_500_baseline/exp/results/classification_10s,/home/paul/gp-data/da_aug_tr_500_baseline/exp/results/classification_30s,0.444,0.57,0.605,0.733,0.576,0.553
da_aug_clean_tr_10000,False,True,True,False,10000,1,/home/paul/gp-data/da_aug_clean_tr_10000/exp/results/classification_3s,/home/paul/gp-data/da_aug_clean_tr_10000/exp/results/classification_10s,/home/paul/gp-data/da_aug_clean_tr_10000/exp/results/classification_30s,0.735,0.847,0.872,0.351,0.208,0.186
da_aug_rirs_tr_5000,True,True,False,False,5000,1,/home/paul/gp-data/da_aug_rirs_tr_5000/exp/results/classification_3s,/home/paul/gp-data/da_aug_rirs_tr_5000/exp/results/classification_10s,/home/paul/gp-data/da_aug_rirs_tr_5000/exp/results/classification_30s,0.796,0.899,0.916,0.271,0.141,0.128
da_aug_tr_10000_baseline_2,False,False,False,True,10000,2,/home/paul/gp-data/da_aug_tr_10000_baseline_2/exp/results/classification_3s,/home/paul/gp-data/da_aug_tr_10000_baseline_2/exp/results/classification_10s,/home/paul/gp-data/da_aug_tr_10000_baseline_2/exp/results/classification_30s,0.71,0.828,0.853,0.383,0.234,0.214
da_rirs_clean_tr_5000_4,True,False,True,False,5000,4,/home/paul/gp-data/da_rirs_clean_tr_5000_4/exp/results/classification_3s,/home/paul/gp-data/da_rirs_clean_tr_5000_4/exp/results/classification_10s,/home/paul/gp-data/da_rirs_clean_tr_5000_4/exp/results/classification_30s,0.709,0.822,0.846,0.385,0.245,0.228
da_aug_rirs_tr_500_2,True,True,False,False,500,2,/home/paul/gp-data/da_aug_rirs_tr_500_2/exp/results/classification_3s,/home/paul/gp-data/da_aug_rirs_tr_500_2/exp/results/classification_10s,/home/paul/gp-data/da_aug_rirs_tr_500_2/exp/results/classification_30s,0.537,0.68,0.718,0.607,0.431,0.407
da_rirs_tr_500,True,False,False,False,500,1,/home/paul/gp-data/da_rirs_tr_500/exp/results/classification_3s,/home/paul/gp-data/da_rirs_tr_500/exp/results/classification_10s,/home/paul/gp-data/da_rirs_tr_500/exp/results/classification_30s,0.468,0.605,0.65,0.705,0.539,0.507
da_aug_tr_1000_baseline_2,False,False,False,True,1000,2,/home/paul/gp-data/da_aug_tr_1000_baseline_2/exp/results/classification_3s,/home/paul/gp-data/da_aug_tr_1000_baseline_2/exp/results/classification_10s,/home/paul/gp-data/da_aug_tr_1000_baseline_2/exp/results/classification_30s,0.52,0.651,0.688,0.634,0.472,0.447
da_aug_rirs_tr_500,True,True,False,False,500,1,/home/paul/gp-data/da_aug_rirs_tr_500/exp/results/classification_3s,/home/paul/gp-data/da_aug_rirs_tr_500/exp/results/classification_10s,/home/paul/gp-data/da_aug_rirs_tr_500/exp/results/classification_30s,0.55,0.692,0.724,0.596,0.424,0.403
da_rirs_clean_tr_500,True,False,True,False,500,1,/home/paul/gp-data/da_rirs_clean_tr_500/exp/results/classification_3s,/home/paul/gp-data/da_rirs_clean_tr_500/exp/results/classification_10s,/home/paul/gp-data/da_rirs_clean_tr_500/exp/results/classification_30s,0.524,0.664,0.701,0.628,0.456,0.431
da_aug_rirs_tr_5000_7,True,True,False,False,5000,7,/home/paul/gp-data/da_aug_rirs_tr_5000_7/exp/results/classification_3s,/home/paul/gp-data/da_aug_rirs_tr_5000_7/exp/results/classification_10s,/home/paul/gp-data/da_aug_rirs_tr_5000_7/exp/results/classification_30s,0.794,0.89,0.908,0.271,0.15,0.137
da_aug_tr_500,False,True,False,False,500,1,/home/paul/gp-data/da_aug_tr_500/exp/results/classification_3s,/home/paul/gp-data/da_aug_tr_500/exp/results/classification_10s,/home/paul/gp-data/da_aug_tr_500/exp/results/classification_30s,0.542,0.678,0.712,0.604,0.436,0.41
da_aug_tr_5000_2,False,True,False,False,5000,2,/home/paul/gp-data/da_aug_tr_5000_2/exp/results/classification_3s,/home/paul/gp-data/da_aug_tr_5000_2/exp/results/classification_10s,/home/paul/gp-data/da_aug_tr_5000_2/exp/results/classification_30s,0.761,0.866,0.883,0.317,0.184,0.174
da_aug_tr_1000,False,True,False,False,1000,1,/home/paul/gp-data/da_aug_tr_1000/exp/results/classification_3s,/home/paul/gp-data/da_aug_tr_1000/exp/results/classification_10s,/home/paul/gp-data/da_aug_tr_1000/exp/results/classification_30s,0.609,0.738,0.771,0.512,0.35,0.325
da_aug_rirs_tr_1000,True,True,False,False,1000,1,/home/paul/gp-data/da_aug_rirs_tr_1000/exp/results/classification_3s,/home/paul/gp-data/da_aug_rirs_tr_1000/exp/results/classification_10s,/home/paul/gp-data/da_aug_rirs_tr_1000/exp/results/classification_30s,0.646,0.773,0.804,0.463,0.305,0.285
da_aug_clean_tr_500_2,False,True,True,False,500,2,/home/paul/gp-data/da_aug_clean_tr_500_2/exp/results/classification_3s,/home/paul/gp-data/da_aug_clean_tr_500_2/exp/results/classification_10s,/home/paul/gp-data/da_aug_clean_tr_500_2/exp/results/classification_30s,0.577,0.708,0.741,0.563,0.399,0.375
da_rirs_tr_10000_2,True,False,False,False,10000,2,/home/paul/gp-data/da_rirs_tr_10000_2/exp/results/classification_3s,/home/paul/gp-data/da_rirs_tr_10000_2/exp/results/classification_10s,/home/paul/gp-data/da_rirs_tr_10000_2/exp/results/classification_30s,0.702,0.833,0.861,0.391,0.228,0.207
da_aug_rirs_tr_10000_2,True,True,False,False,10000,2,/home/paul/gp-data/da_aug_rirs_tr_10000_2/exp/results/classification_3s,/home/paul/gp-data/da_aug_rirs_tr_10000_2/exp/results/classification_10s,/home/paul/gp-data/da_aug_rirs_tr_10000_2/exp/results/classification_30s,0.821,0.912,0.93,0.237,0.121,0.106
da_aug_rirs_tr_5000_6,True,True,False,False,5000,6,/home/paul/gp-data/da_aug_rirs_tr_5000_6/exp/results/classification_3s,/home/paul/gp-data/da_aug_rirs_tr_5000_6/exp/results/classification_10s,/home/paul/gp-data/da_aug_rirs_tr_5000_6/exp/results/classification_30s,0.8,0.891,0.907,0.263,0.146,0.134
da_rirs_tr_5000_6,True,False,False,False,5000,6,/home/paul/gp-data/da_rirs_tr_5000_6/exp/results/classification_3s,/home/paul/gp-data/da_rirs_tr_5000_6/exp/results/classification_10s,/home/paul/gp-data/da_rirs_tr_5000_6/exp/results/classification_30s,0.664,0.799,0.832,0.442,0.273,0.247
da_rirs_clean_tr_1000_2,True,False,True,False,1000,2,/home/paul/gp-data/da_rirs_clean_tr_1000_2/exp/results/classification_3s,/home/paul/gp-data/da_rirs_clean_tr_1000_2/exp/results/classification_10s,/home/paul/gp-data/da_rirs_clean_tr_1000_2/exp/results/classification_30s,0.589,0.72,0.75,0.537,0.375,0.353
da_aug_clean_tr_1000_2,False,True,True,False,1000,2,/home/paul/gp-data/da_aug_clean_tr_1000_2/exp/results/classification_3s,/home/paul/gp-data/da_aug_clean_tr_1000_2/exp/results/classification_10s,/home/paul/gp-data/da_aug_clean_tr_1000_2/exp/results/classification_30s,0.632,0.761,0.789,0.484,0.323,0.303
da_aug_rirs_tr_10000,True,True,False,False,10000,1,/home/paul/gp-data/da_aug_rirs_tr_10000/exp/results/classification_3s,/home/paul/gp-data/da_aug_rirs_tr_10000/exp/results/classification_10s,/home/paul/gp-data/da_aug_rirs_tr_10000/exp/results/classification_30s,0.821,0.912,0.929,0.236,0.119,0.106
da_aug_rirs_tr_5000_5,True,True,False,False,5000,5,/home/paul/gp-data/da_aug_rirs_tr_5000_5/exp/results/classification_3s,/home/paul/gp-data/da_aug_rirs_tr_5000_5/exp/results/classification_10s,/home/paul/gp-data/da_aug_rirs_tr_5000_5/exp/results/classification_30s,0.791,0.893,0.911,0.274,0.145,0.133
da_aug_rirs_clean_tr_500,True,True,True,False,500,1,/home/paul/gp-data/da_aug_rirs_clean_tr_500/exp/results/classification_3s,/home/paul/gp-data/da_aug_rirs_clean_tr_500/exp/results/classification_10s,/home/paul/gp-data/da_aug_rirs_clean_tr_500/exp/results/classification_30s,0.59,0.72,0.752,0.54,0.379,0.355
da_aug_tr_500_baseline_2,False,False,False,True,500,2,/home/paul/gp-data/da_aug_tr_500_baseline_2/exp/results/classification_3s,/home/paul/gp-data/da_aug_tr_500_baseline_2/exp/results/classification_10s,/home/paul/gp-data/da_aug_tr_500_baseline_2/exp/results/classification_30s,0.443,0.569,0.609,0.739,0.582,0.554
da_rirs_clean_tr_1000,True,False,True,False,1000,1,/home/paul/gp-data/da_rirs_clean_tr_1000/exp/results/classification_3s,/home/paul/gp-data/da_rirs_clean_tr_1000/exp/results/classification_10s,/home/paul/gp-data/da_rirs_clean_tr_1000/exp/results/classification_30s,0.601,0.73,0.763,0.523,0.365,0.339
da_rirs_tr_5000_4,True,False,False,False,5000,4,/home/paul/gp-data/da_rirs_tr_5000_4/exp/results/classification_3s,/home/paul/gp-data/da_rirs_tr_5000_4/exp/results/classification_10s,/home/paul/gp-data/da_rirs_tr_5000_4/exp/results/classification_30s,0.671,0.796,0.83,0.435,0.277,0.25
da_aug_rirs_clean_tr_10000,True,True,True,False,10000,1,/home/paul/gp-data/da_aug_rirs_clean_tr_10000/exp/results/classification_3s,/home/paul/gp-data/da_aug_rirs_clean_tr_10000/exp/results/classification_10s,/home/paul/gp-data/da_aug_rirs_clean_tr_10000/exp/results/classification_30s,0.737,0.849,0.872,0.347,0.203,0.186
da_aug_tr_5000_baseline,False,False,False,True,5000,1,/home/paul/gp-data/da_aug_tr_5000_baseline/exp/results/classification_3s,/home/paul/gp-data/da_aug_tr_5000_baseline/exp/results/classification_10s,/home/paul/gp-data/da_aug_tr_5000_baseline/exp/results/classification_30s,0.67,0.796,0.823,0.436,0.279,0.26
da_aug_tr_10000_baseline,False,False,False,True,10000,1,/home/paul/gp-data/da_aug_tr_10000_baseline/exp/results/classification_3s,/home/paul/gp-data/da_aug_tr_10000_baseline/exp/results/classification_10s,/home/paul/gp-data/da_aug_tr_10000_baseline/exp/results/classification_30s,0.712,0.828,0.853,0.382,0.234,0.216
da_rirs_tr_1000,True,False,False,False,1000,1,/home/paul/gp-data/da_rirs_tr_1000/exp/results/classification_3s,/home/paul/gp-data/da_rirs_tr_1000/exp/results/classification_10s,/home/paul/gp-data/da_rirs_tr_1000/exp/results/classification_30s,0.533,0.674,0.718,0.615,0.443,0.408
da_rirs_tr_5000_7,True,False,False,False,5000,7,/home/paul/gp-data/da_rirs_tr_5000_7/exp/results/classification_3s,/home/paul/gp-data/da_rirs_tr_5000_7/exp/results/classification_10s,/home/paul/gp-data/da_rirs_tr_5000_7/exp/results/classification_30s,0.668,0.803,0.833,0.437,0.268,0.244
da_aug_tr_10000,False,True,False,False,10000,1,/home/paul/gp-data/da_aug_tr_10000/exp/results/classification_3s,/home/paul/gp-data/da_aug_tr_10000/exp/results/classification_10s,/home/paul/gp-data/da_aug_tr_10000/exp/results/classification_30s,0.788,0.884,0.901,0.28,0.157,0.144
da_rirs_clean_tr_5000_3,True,False,True,False,5000,3,/home/paul/gp-data/da_rirs_clean_tr_5000_3/exp/results/classification_3s,/home/paul/gp-data/da_rirs_clean_tr_5000_3/exp/results/classification_10s,/home/paul/gp-data/da_rirs_clean_tr_5000_3/exp/results/classification_30s,0.709,0.822,0.846,0.385,0.245,0.228
da_aug_clean_tr_500,False,True,True,False,500,1,/home/paul/gp-data/da_aug_clean_tr_500/exp/results/classification_3s,/home/paul/gp-data/da_aug_clean_tr_500/exp/results/classification_10s,/home/paul/gp-data/da_aug_clean_tr_500/exp/results/classification_30s,0.575,0.713,0.749,0.56,0.388,0.361
da_rirs_tr_5000_5,True,False,False,False,5000,5,/home/paul/gp-data/da_rirs_tr_5000_5/exp/results/classification_3s,/home/paul/gp-data/da_rirs_tr_5000_5/exp/results/classification_10s,/home/paul/gp-data/da_rirs_tr_5000_5/exp/results/classification_30s,0.657,0.79,0.82,0.448,0.281,0.258
da_rirs_clean_tr_5000_5,True,False,True,False,5000,5,/home/paul/gp-data/da_rirs_clean_tr_5000_5/exp/results/classification_3s,/home/paul/gp-data/da_rirs_clean_tr_5000_5/exp/results/classification_10s,/home/paul/gp-data/da_rirs_clean_tr_5000_5/exp/results/classification_30s,0.711,0.827,0.853,0.381,0.234,0.214
da_rirs_tr_5000,True,False,False,False,5000,1,/home/paul/gp-data/da_rirs_tr_5000/exp/results/classification_3s,/home/paul/gp-data/da_rirs_tr_5000/exp/results/classification_10s,/home/paul/gp-data/da_rirs_tr_5000/exp/results/classification_30s,0.677,0.812,0.842,0.427,0.258,0.236
da_aug_tr_5000,False,True,False,False,5000,1,/home/paul/gp-data/da_aug_tr_5000/exp/results/classification_3s,/home/paul/gp-data/da_aug_tr_5000/exp/results/classification_10s,/home/paul/gp-data/da_aug_tr_5000/exp/results/classification_30s,0.762,0.865,0.887,0.317,0.185,0.168
da_aug_rirs_clean_tr_10000_2,True,True,True,False,10000,2,/home/paul/gp-data/da_aug_rirs_clean_tr_10000_2/exp/results/classification_3s,/home/paul/gp-data/da_aug_rirs_clean_tr_10000_2/exp/results/classification_10s,/home/paul/gp-data/da_aug_rirs_clean_tr_10000_2/exp/results/classification_30s,0.744,0.851,0.873,0.335,0.201,0.184
da_aug_tr_10000_2,False,True,False,False,10000,2,/home/paul/gp-data/da_aug_tr_10000_2/exp/results/classification_3s,/home/paul/gp-data/da_aug_tr_10000_2/exp/results/classification_10s,/home/paul/gp-data/da_aug_tr_10000_2/exp/results/classification_30s,0.783,0.88,0.898,0.288,0.163,0.151
da_aug_rirs_tr_5000_4,True,True,False,False,5000,4,/home/paul/gp-data/da_aug_rirs_tr_5000_4/exp/results/classification_3s,/home/paul/gp-data/da_aug_rirs_tr_5000_4/exp/results/classification_10s,/home/paul/gp-data/da_aug_rirs_tr_5000_4/exp/results/classification_30s,0.798,0.896,0.914,0.268,0.142,0.128
da_rirs_tr_5000_3,True,False,False,False,5000,3,/home/paul/gp-data/da_rirs_tr_5000_3/exp/results/classification_3s,/home/paul/gp-data/da_rirs_tr_5000_3/exp/results/classification_10s,/home/paul/gp-data/da_rirs_tr_5000_3/exp/results/classification_30s,0.66,0.798,0.829,0.447,0.275,0.253
da_aug_tr_1000_baseline,False,False,False,True,1000,1,/home/paul/gp-data/da_aug_tr_1000_baseline/exp/results/classification_3s,/home/paul/gp-data/da_aug_tr_1000_baseline/exp/results/classification_10s,/home/paul/gp-data/da_aug_tr_1000_baseline/exp/results/classification_30s,0.529,0.663,0.697,0.625,0.458,0.434
da_rirs_clean_tr_5000_2,True,False,True,False,5000,2,/home/paul/gp-data/da_rirs_clean_tr_5000_2/exp/results/classification_3s,/home/paul/gp-data/da_rirs_clean_tr_5000_2/exp/results/classification_10s,/home/paul/gp-data/da_rirs_clean_tr_5000_2/exp/results/classification_30s,0.713,0.83,0.851,0.379,0.231,0.216
da_aug_clean_tr_10000_2,False,True,True,False,10000,2,/home/paul/gp-data/da_aug_clean_tr_10000_2/exp/results/classification_3s,/home/paul/gp-data/da_aug_clean_tr_10000_2/exp/results/classification_10s,/home/paul/gp-data/da_aug_clean_tr_10000_2/exp/results/classification_30s,0.736,0.847,0.871,0.347,0.205,0.185
da_aug_tr_1000_2,False,True,False,False,1000,2,/home/paul/gp-data/da_aug_tr_1000_2/exp/results/classification_3s,/home/paul/gp-data/da_aug_tr_1000_2/exp/results/classification_10s,/home/paul/gp-data/da_aug_tr_1000_2/exp/results/classification_30s,0.605,0.738,0.768,0.519,0.353,0.331
da_rirs_tr_1000_2,True,False,False,False,1000,2,/home/paul/gp-data/da_rirs_tr_1000_2/exp/results/classification_3s,/home/paul/gp-data/da_rirs_tr_1000_2/exp/results/classification_10s,/home/paul/gp-data/da_rirs_tr_1000_2/exp/results/classification_30s,0.531,0.666,0.709,0.613,0.446,0.413
da_aug_rirs_clean_tr_5000_3,True,True,True,False,5000,3,/home/paul/gp-data/da_aug_rirs_clean_tr_5000_3/exp/results/classification_3s,/home/paul/gp-data/da_aug_rirs_clean_tr_5000_3/exp/results/classification_10s,/home/paul/gp-data/da_aug_rirs_clean_tr_5000_3/exp/results/classification_30s,0.729,0.845,0.866,0.359,0.214,0.199
